# removed from sbzr.extended.common.dict.yaml by optimize_dedup_scan.py --apply
# word	code	weight	original_lineno
还得拆	hldecl	563	3611
乙肝是	yigjsi	562	3631
会绕开	hvrkkl	562	3632
川北路	crbzlu	562	3634
数字大	suzida	562	3636
莫辜负	mogufu	562	3639
这个量	zegeld	562	3640
不敢选	bugjxr	561	3658
十里岗	siligh	561	3659
成绩啊	cgjiva	561	3662
我平日	wopyri	561	3663
我西安	woxivj	561	3664
没有均	mzybjp	561	3665
湖岸线	huvjxm	561	3666
陈飞宇	cffzyu	561	3671
于平静	yupyjy	560	3705
皮实点	pisidm	560	3711
知乎啊	zihuva	560	3713
把负债	bafuzl	559	3734
新城店	xncgdm	559	3735
畸形人	jixyrf	559	3737
盖盖儿	glglvr	559	3738
赵达裕	zkdayu	559	3739
鸡鹅鸭	jiveya	559	3741
一辆啊	yildva	558	3767
仲基啊	zsjiva	558	3769
会精神	hvjysf	558	3770
在灌水	zlgrsv	558	3771
好保养	hkbkyh	558	3772
对一下	dvyixw	558	3773
我这位	wozewz	558	3774
有五个	ybwuge	558	3775
舞弊案	wubivj	558	3776
青岛吧	qydkba	558	3777
黄彩椒	hdcljc	558	3778
度飞梁	dufzld	557	3800
被资本	bzzibf	557	3804
量产车	ldcjce	557	3806
钱塘币	qmthbi	557	3807
到永城	dkyscg	556	3826
游戏帮	ybxibh	556	3833
周韦彤	zbwzts	555	3858
想应是	xdyysi	555	3861
舒坦些	sutjxx	555	3863
也得会	yedehv	554	3893
企鹅队	qivedv	554	3894
你嫁进	nijwjn	554	3895
及奥运	jivkyp	554	3897
按不准	vjbuzp	554	3901
百利安	bllivj	554	3903
雅女湖	yanvhu	554	3905
周扬青	zbyhqy	553	3928
救一手	jqyisb	553	3930
没歧义	mzqiyi	553	3931
点缀出	dmzvcu	553	3933
祈安清	qivjqy	553	3934
麻醉法	mazvfa	553	3936
大费拉	dafzla	552	3966
心急啊	xnjiva	552	3967
心机啊	xnjiva	552	3968
思考吧	sikkba	552	3969
照片呢	zkpmne	552	3970
高堰式	gkyjsi	552	3971
魔鬼海	mogvhl	552	3972
一股绳	yigusg	551	4000
做啥呢	zosane	551	4001
